Название,Уровень,Структура,Не является органом
"Федеральный, без региональной структуры",federal,,0
"Федеральный, с региональной структурой",federal,regional,0
Группа региональных органов власти,regional,regional,1
Группа организаций,organization,group,1
Региональный со структурой,regional,group,0
Организация со структурой,organization,group,0
Группа муниципальных органов,municipal,group,1
Группа федеральных органов власти,federal,group,1
Группа надрегиональных,supraregional,group,1
"Региональный, без структуры",regional,,0
Группа региональных организаций,organization,regional,1
"Муниципальный, без структуры",municipal,,0
"Организация, без структуры",organization,,0
"Организация, c региональной структурой",organization,regional,0
"Надрегиональный, без структуры",supraregional,,0
"Федеральный, со структурой",federal,group,0
