region_id,name,short_name,extra_short_name,car_code,slug,federal_district
24,Алтайский край,Алтайский край,Алтайский край,22,RU.AL,Сибирский
33,Амурская область,Амурская область,Амурская обл.,28,RU.AM,Дальневосточный
37,Архангельская область,Архангельская область,Архангельская обл.,29,RU.AR,Северо-Западный
38,Астраханская область,Астраханская область,Астраханская обл.,30,RU.AS,Южный
96,Белгородская область,Белгородская область,Белгородская обл.,31,RU.BL,Центральный
35,Брянская область,Брянская область,Брянская обл.,32,RU.BR,Центральный
36,Владимирская область,Владимирская область,Владимирская обл.,33,RU.VL,Центральный
41,Волгоградская область,Волгоградская область,Волгоградская обл.,34,RU.VG,Южный
42,Вологодская область,Вологодская область,Вологодская обл.,35,RU.VO,Северо-Западный
43,Воронежская область,Воронежская область,Воронежская обл.,36,RU.VR,Центральный
93,Еврейская автономная область,Еврейская АО,Еврейская АО,79,RU.YV,Дальневосточный
44,Забайкальский край,Забайкальский край,Забайкальский край,75,RU.ZB,Сибирский
99,Ивановская область,Ивановская область,Ивановская обл.,37,RU.IV,Центральный
45,Иркутская область,Иркутская область,Иркутская обл.,38,RU.IK,Сибирский
9,Кабардино-Балкарская Республика,Кабардино-Балкария,Кабардино-Балкария,7,RU.KB,Северо-Кавказский
46,Калининградская область,Калининградская область,Калининградская обл.,39,RU.KN,Северо-Западный
97,Калужская область,Калужская область,Калужская обл.,40,RU.KG,Центральный
48,Камчатский край,Камчатский край,Камчатский край,41,RU.KQ,Дальневосточный
11,Карачаево-Черкесская республика,Карачаево-Черкессия,Карачаево-Черкессия,9,RU.KC,Северо-Кавказский
50,Кемеровская область,Кемеровская область,Кемеровская обл.,42,RU.KE,Сибирский
51,Кировская область,Кировская область,Кировская обл.,43,RU.KV,Приволжский
53,Костромская область,Костромская область,Костромская обл.,44,RU.KT,Центральный
27,Краснодарский край,Краснодарский край,Краснодарский край,23,RU.KD,Южный
28,Красноярский край,Красноярский край,Красноярский край,24,RU.KX,Сибирский
98,Курганская область,Курганская область,Курганская обл.,45,RU.KU,Уральский
55,Курская область,Курская область,Курская обл.,46,RU.KS,Центральный
56,Ленинградская область,Ленинградская область,Ленинградская обл.,47,RU.LN,Северо-Западный
57,Липецкая область,Липецкая область,Липецкая обл.,48,RU.LP,Центральный
58,Магаданская область,Магаданская область,Магаданская обл.,49,RU.MG,Дальневосточный
63,Москва,Москва,Москва,77,RU.MS.CITY,Центральный
64,Московская область,Московская область,Московская обл.,50,RU.MS,Центральный
65,Мурманская область,Мурманская область,Мурманская обл.,51,RU.MM,Северо-Западный
102,Ненецкий автономный округ,Ненецкий АО,Ненецкий АО,83,RU.NN,Северо-Западный
66,Нижегородская область,Нижегородская область,Нижегородская обл.,52,RU.NZ,Приволжский
67,Новгородская область,Новгородская область,Новгородская обл.,53,RU.NG,Северо-Западный
68,Новосибирская область,Новосибирская область,Новосибирская обл.,54,RU.NS,Сибирский
69,Омская область,Омская область,Омская обл.,55,RU.OM,Сибирский
105,Оренбургская область,Оренбургская область,Оренбургская обл.,56,RU.OB,Приволжский
70,Орловская область,Орловская область,Орловская обл.,57,RU.OL,Центральный
72,Пензенская область,Пензенская область,Пензенская обл.,58,RU.PZ,Приволжский
29,Пермский край,Пермский край,Пермский край,59,RU.PE,Приволжский
74,Приморский край,Приморский край,Приморский край,25,RU.PR,Дальневосточный
75,Псковская область,Псковская область,Псковская обл.,60,RU.PS,Северо-Западный
3,Республика Адыгея,Адыгея,Адыгея,1,RU.AD,Южный
6,Республика Алтай,Алтай,Алтай,4,RU.GA,Сибирский
4,Республика Башкортостан,Башкортостан,Башкортостан,2,RU.BK,Приволжский
5,Республика Бурятия,Бурятия,Бурятия,3,RU.BU,Сибирский
59,Республика Дагестан,Дагестан,Дагестан,5,RU.DA,Северо-Кавказский
8,Республика Ингушетия,Ингушетия,Ингушетия,6,RU.IN,Северо-Кавказский
47,Республика Калмыкия,Калмыкия,Калмыкия,8,RU.KL,Южный
12,Республика Карелия,Карелия,Карелия,10,RU.KI,Северо-Западный
13,Республика Коми,Коми,Коми,11,RU.KO,Северо-Западный
61,Республика Марий Эл,Марий Эл,Марий Эл,12,RU.ME,Приволжский
62,Республика Мордовия,Мордовия,Мордовия,13,RU.MR,Приволжский
92,Республика Саха (Якутия),Саха (Якутия),Саха (Якутия),14,RU.SK,Дальневосточный
17,Республика Северная Осетия — Алания,Северная Осетия — Алания,Сев. Осетия-Алания,15,RU.NO,Северо-Кавказский
18,Республика Татарстан,Татарстан,Татарстан,16,RU.TT,Приволжский
85,Республика Тува (Тыва),Тува (Тыва),Тува (Тыва),17,RU.TU,Сибирский
21,Республика Хакасия,Хакасия,Хакасия,19,RU.KK,Сибирский
76,Ростовская область,Ростовская область,Ростовская обл.,61,RU.RO,Южный
103,Рязанская область,Рязанская область,Рязанская обл.,62,RU.RZ,Центральный
77,Самарская область,Самарская область,Самарская обл.,63,RU.SA,Приволжский
1,Санкт-Петербург,Санкт-Петербург,Санкт-Петербург,78,RU.SP,Северо-Западный
79,Саратовская область,Саратовская область,Саратовская обл.,64,RU.SR,Приволжский
94,Сахалинская область,Сахалинская область,Сахалинская обл.,65,RU.SL,Дальневосточный
80,Свердловская область,Свердловская область,Свердловская обл.,66,RU.SV,Уральский
100,Смоленская область,Смоленская область,Смоленская обл.,67,RU.SM,Центральный
81,Ставропольский край,Ставропольский край,Ставропольский край,26,RU.ST,Северо-Кавказский
82,Тамбовская область,Тамбовская область,Тамбовская обл.,68,RU.TB,Центральный
101,Тверская область,Тверская область,Тверская обл.,69,RU.TV,Центральный
106,Томская область,Томская область,Томская обл.,70,RU.TO,Сибирский
84,Тульская область,Тульская область,Тульская обл.,71,RU.TL,Центральный
86,Тюменская область,Тюменская область,Тюменская обл.,72,RU.TY,Уральский
20,Удмуртская республика,Удмуртия,Удмуртия,18,RU.UD,Приволжский
88,Ульяновская область,Ульяновская область,Ульяновская обл.,73,RU.UL,Приволжский
32,Хабаровский край,Хабаровский край,Хабаровский край,27,RU.KH,Дальневосточный
108,Ханты-Мансийский автономный округ — Югра,Ханты-Мансийский АО — Югра,Ханты-Манс-ий АО (Югра),86,RU.KM,Уральский
89,Челябинская область,Челябинская область,Челябинская обл.,74,RU.CL,Уральский
90,Чеченская республика,Чечня,Чечня,95,RU.CN,Северо-Кавказский
91,Чувашская республика,Чувашия,Чувашия,21,RU.CV,Приволжский
95,Чукотский автономный округ,Чукотский АО,Чукотский АО,87,RU.CK,Дальневосточный
104,Ямало-Ненецкий АО,Ямало-Ненецкий АО,Ямало-Ненецкий АО,89,RU.YN,Уральский
107,Ярославская область,Ярославская область,Ярославская обл.,76,RU.YS,Центральный
